单品名称,最优单价
七彩椒(2),99.99999215890347
上海青,7.433011505365375
云南油麦菜,7.261885754748717
云南油麦菜(份),4.784604435777753
云南生菜,9.319394990999992
云南生菜(份),99.99999215890347
净藕(1),51.79361562093567
双孢菇(盒),99.99999215890347
圆茄子(2),0.010004507614747166
外地茼蒿,99.99999215890347
奶白菜,6.034637702756344
姜蒜小米椒组合装(小份),99.99999215890347
娃娃菜,99.99999215890347
小皱皮(份),4.218626237484727
小米椒(份),2.0884688196024355
小青菜(1),99.99999215890347
木耳菜,99.99999215890347
木耳菜(份),99.99999215890347
枝江青梗散花,99.99999215890347
洪湖藕带,0.010004507614747166
海鲜菇(包),99.99999215890347
白玉菇(袋),99.99999215890347
竹叶菜,99.99999215890347
紫茄子(1),0.010004507614747166
紫茄子(2),99.99999215890347
红椒(2),0.010004507614747166
红莲藕带,10.133013976589769
红薯尖,99.99999215890347
芜湖青椒(1),99.99999215890347
苋菜,99.99999215890347
菜心,8.537015147993301
菠菜,15.34488459020013
菠菜(份),4.897865770602395
菱角,99.99999215890347
虫草花(份),99.99999215890347
螺丝椒,99.99999215890347
螺丝椒(份),19.2242017658912
蟹味菇与白玉菇双拼(盒),99.99999215890347
西兰花,11.74625605103405
西峡花菇(1),99.99999215890347
野生粉藕,99.99999215890347
金针菇(盒),5.9430665077871945
长线茄,99.99999215890347
青红杭椒组合装(份),41.671242881101676
青线椒(份),99.99999215890347
青茄子(1),0.010004507614747166
高瓜(1),99.99999215890347
高瓜(2),27.249537518159123
鲜木耳(份),99.99999215890347
